60
60
60
59,98
59,97
59,47
59,77
59,43
59,43
59,43
59,52
58,45
58,42
57,67
57,26
57,26
57,26
56,71
57,48
58,1
58,42
58,07
58,07
58,07
58,33
58,17
58,9
58,36
57,76
57,76
57,76
57,91
57,44
56,72
56,7
56,91
56,91
56,91
57,11
57,23
56,59
55,27
53,53
53,53
53,53
51,06
51,4
51,89
51,89
51,89
51,89
51,89
53,93
52,33
52,91
53,76
52,66
52,66
52,66
52,69
53,49
53,44
52,84
52,44
52,44
52,44
52,44
52,64
53,01
52,87
51,98
51,98
51,98
52,51
51,94
51,7
51,17
51,78
51,78
51,78
50,23
49,97
51,47
51,48
52,11
52,11
52,11
53,25
53,35
53,76
54,06
53,64
53,64
53,64
53,44
52,95
52,73
53,48
53,83
53,83
53,83
54,03
53,67
53,8
55,44
56,51
56,51
56,51
56,17
55,92
56,69
56,85
56,51
56,51
56,51
56,95
57,64
57,35
56,96
56,65
56,65
56,65
56,14
56,43
56,08
55,09
54,85
54,85
54,85
55,54
56,33
56,9
57
57,29
57,29
57,29
57,04
56,98
57,53
57,72
57,65
57,65
57,65
57,76
57,74
57,21
55,33
56,15
56,15
56,15
56,15
55,55
55,41
55,74
54,68
54,68
54,68
54,32
55,47
55,89
55,95
55,14
55,14
55,14
54,91
55,23
56,73
56,54
56,54
56,54
56,54
56,29
56,96
56,7
56,29
56,29
56,29
56,29
55,45
55,92
55,22
53,79
53,14
53,14
53,14
53,24
53,57
52,97
53,35
51,49
51,49
51,49
51,51
51,45
50,3
51,17
52,34
52,34
52,34
51,95
52,5
52,73
52,15
53,59
53,59
53,59
53,79
52,98
52,48
52,06
51,86
51,86
51,86
51,06
50,27
50,38
49,24
50,46
50,46
50,46
51,12
51,28
52,22
52,37
52,08
52,08
52,08
52,84
51,97
51,69
52,44
52,93
52,93
52,93
53,02
54
54,2
53,84
53,93
53,93
53,93
54,18
53,73
53,99
53,15
54,25
54,25
54,25
54,49
54,04
54,23
54,23
54,22
54,22
54,22
54,17
54,13
53,97
53,84
53,84
53,84
53,84
53,84
54,1
54,38
53,84
53,62
53,62
53,62
53,67
53,13
53,51
53,39
53,77
53,77
53,77
53,74
54,08
54,9
54,82
54,62
54,62
54,62
54,73
55,12
55,31
54,27
54,56
54,56
54,56
54,24
54,37
54,58
54,03
53
53
53
52,9
52,09
51,32
51,69
51,57
51,57
51,57
51,27
51,6
51,26
51,17
51,53
51,53
51,53
51,81
51,8
52
52
52,23
52,23
52,23
52,03
52,98
53,32
53,32
53,54
53,54
53,54
53,53
53,01
52,41
52,65
52,17
52,17
52,17
52,51
52,92
52,83
52,61
52,07
52,07
52,07
51,64
51,12
51,47
51,56
51,8
51,8
51,8
52,82
53,09
53,08
53,43
51,17
51,17
51,17
49,99
50,92
52,34
53
52,98
52,98
52,98
52,88
52,28
51,9
52
52,76
52,76
52,76
53,27
53,9
53,98
54,28
54,29
54,29
54,29
54,09
53,58
54,06
